date,time,city,description,temperature,feels_like,humidity,pressure,wind_speed,wind_deg,visibility,longitude,latitude
2025-05-08,13:27:06,Fernhurst,few clouds,14.57,13.57,57,1020,4.46,49,10000,-0.7179,51.0487
2025-05-08,13:31:05,Fernhurst,scattered clouds,14.85,13.88,57,1019,4.23,52,10000,-0.7179,51.0487
2025-05-08,13:31:12,Fernhurst,scattered clouds,14.85,13.88,57,1019,4.23,52,10000,-0.7179,51.0487
2025-05-08,13:31:14,Fulham,clear sky,10.15,9.41,84,1031,2.24,281,10000,146.9833,-38.1
2025-05-08,13:31:23,Fulham,clear sky,10.15,9.41,84,1031,2.24,281,10000,146.9833,-38.1
2025-05-08,13:31:25,Fulham,clear sky,10.15,9.41,84,1031,2.24,281,10000,146.9833,-38.1
2025-05-08,13:32:13,Fulham,clear sky,10.15,9.41,84,1031,2.24,281,10000,146.9833,-38.1
2025-05-08,13:33:12,Fulham,clear sky,10.15,9.41,84,1031,2.24,281,10000,146.9833,-38.1
2025-05-08,13:34:12,Fulham,clear sky,10.46,9.75,84,1031,2.24,281,10000,146.9833,-38.1
2025-05-08,13:35:12,Fulham,clear sky,10.46,9.75,84,1031,2.24,281,10000,146.9833,-38.1
2025-05-08,13:36:12,Fulham,clear sky,10.46,9.75,84,1031,2.24,281,10000,146.9833,-38.1
2025-05-08,13:37:12,Fulham,clear sky,10.46,9.75,84,1031,2.24,281,10000,146.9833,-38.1
2025-05-08,13:38:12,Fulham,clear sky,10.46,9.75,84,1031,2.24,281,10000,146.9833,-38.1
2025-05-08,13:39:12,Fulham,clear sky,10.46,9.75,84,1031,2.24,281,10000,146.9833,-38.1
2025-05-08,13:40:12,Fulham,clear sky,10.46,9.75,84,1031,2.24,281,10000,146.9833,-38.1
2025-05-08,13:41:12,Fulham,clear sky,10.46,9.75,84,1031,2.24,281,10000,146.9833,-38.1
2025-05-08,13:42:12,Fulham,clear sky,10.46,9.75,84,1031,2.24,281,10000,146.9833,-38.1
2025-05-08,13:42:26,Fulham,clear sky,10.46,9.75,84,1031,2.24,281,10000,146.9833,-38.1
2025-05-08,13:42:31,Fernhurst,overcast clouds,14.74,13.76,57,1019,4.03,59,10000,-0.7179,51.0487
2025-05-08,15:36:18,Fernhurst,overcast clouds,15.44,14.45,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:37:18,Fernhurst,overcast clouds,15.44,14.45,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:38:18,Fernhurst,overcast clouds,15.44,14.45,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:39:18,Fernhurst,overcast clouds,15.44,14.45,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:40:18,Fernhurst,overcast clouds,15.44,14.45,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:41:18,Fernhurst,overcast clouds,15.44,14.45,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:42:18,Fernhurst,overcast clouds,15.44,14.45,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:43:18,Fernhurst,overcast clouds,15.44,14.45,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:44:18,Fernhurst,overcast clouds,15.44,14.45,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:45:18,Fernhurst,overcast clouds,15.44,14.45,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:46:18,Fernhurst,overcast clouds,15.67,14.75,56,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:47:18,Fernhurst,overcast clouds,15.67,14.75,56,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:48:18,Fernhurst,overcast clouds,15.67,14.75,56,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:49:18,Fernhurst,overcast clouds,15.67,14.75,56,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:50:18,Fernhurst,overcast clouds,15.67,14.75,56,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:51:18,Fernhurst,overcast clouds,15.34,14.42,57,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:52:18,Fernhurst,overcast clouds,15.34,14.42,57,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:53:18,Fernhurst,overcast clouds,15.34,14.42,57,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:54:18,Fernhurst,overcast clouds,15.34,14.42,57,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:55:18,Fernhurst,overcast clouds,15.34,14.42,57,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:56:18,Fernhurst,overcast clouds,15.32,14.4,57,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:57:18,Fernhurst,overcast clouds,15.32,14.4,57,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:58:18,Fernhurst,overcast clouds,15.32,14.4,57,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,15:59:18,Fernhurst,overcast clouds,15.32,14.4,57,1019,3.37,84,10000,-0.7179,51.0487
